ID_Number,Species,Light,Treatment,Date,Length
401,F. nigra,Shade,Control,4/13/19,0
402,F. nigra,Sun,MeJA,4/13/19,0
403,F. nigra,Shade,Control,4/13/19,0
404,F. nigra,Shade,MeJA,4/13/19,0
405,F. nigra,Shade,MeJA,4/13/19,0
406,F. nigra,Shade,Control,4/13/19,0
407,F. nigra,Sun,MeJA,4/13/19,0
408,F. nigra,Sun,Control,4/13/19,0
409,F. nigra,Shade,MeJA,4/13/19,0
410,F. nigra,Shade,MeJA,4/13/19,0
411,F. nigra,Shade,MeJA,4/13/19,0
412,F. nigra,Sun,Control,4/13/19,0
413,F. nigra,Sun,Control,4/13/19,0
414,F. nigra,Sun,Control,4/13/19,0
415,F. nigra,Sun,MeJA,4/13/19,0
416,F. nigra,Shade,MeJA,4/13/19,0
417,F. nigra,Sun,Control,4/13/19,0
418,F. nigra,Shade,Control,4/13/19,0
419,F. nigra,Sun,Control,4/13/19,0
420,F. nigra,Shade,MeJA,4/13/19,0
421,F. nigra,Shade,Control,4/13/19,0
422,F. nigra,Shade,Control,4/13/19,0
423,F. nigra,Shade,Control,4/13/19,0
424,F. nigra,Sun,MeJA,4/13/19,0
425,F. nigra,Shade,MeJA,4/13/19,0
426,F. nigra,Shade,MeJA,4/13/19,0
427,F. nigra,Sun,MeJA,4/13/19,0
428,F. nigra,Sun,MeJA,4/13/19,0
429,F. nigra,Sun,Control,4/13/19,0
430,F. nigra,Sun,MeJA,4/13/19,0
431,F. nigra,Shade,Control,4/13/19,0
432,F. nigra,Sun,Control,4/13/19,0
433,C. virginicus,Shade,Control,4/13/19,0
434,C. virginicus,Sun,Control,4/13/19,0
435,C. virginicus,Shade,MeJA,4/13/19,0
436,C. virginicus,Shade,Control,4/13/19,0
437,C. virginicus,Shade,MeJA,4/13/19,0
438,C. virginicus,Shade,MeJA,4/13/19,0
439,C. virginicus,Sun,MeJA,4/13/19,0
440,C. virginicus,Shade,MeJA,4/13/19,0
441,C. virginicus,Shade,MeJA,4/13/19,0
442,C. virginicus,Sun,MeJA,4/13/19,0
443,C. virginicus,Sun,MeJA,4/13/19,0
444,C. virginicus,Shade,Control,4/13/19,0
445,C. virginicus,Shade,Control,4/13/19,0
446,C. virginicus,Shade,Control,4/13/19,0
447,C. virginicus,Shade,Control,4/13/19,0
448,C. virginicus,Sun,Control,4/13/19,0
449,C. virginicus,Sun,MeJA,4/13/19,0
450,C. virginicus,Sun,MeJA,4/13/19,0
451,C. virginicus,Sun,Control,4/13/19,0
452,C. virginicus,Shade,MeJA,4/13/19,0
453,C. virginicus,Sun,Control,4/13/19,0
454,C. virginicus,Shade,MeJA,4/13/19,0
455,C. virginicus,Sun,MeJA,4/13/19,0
456,C. virginicus,Shade,Control,4/13/19,0
457,C. virginicus,Sun,Control,4/13/19,0
458,C. virginicus,Sun,MeJA,4/13/19,0
459,C. virginicus,Shade,Control,4/13/19,0
460,C. virginicus,Sun,Control,4/13/19,0
461,C. virginicus,Sun,Control,4/13/19,0
462,C. virginicus,Sun,Control,4/13/19,0
401,F. nigra,Shade,Control,4/27/19,92.42
402,F. nigra,Sun,MeJA,4/27/19,72.09
403,F. nigra,Shade,Control,4/27/19,122.46
404,F. nigra,Shade,MeJA,4/27/19,83.23
405,F. nigra,Shade,MeJA,4/27/19,40.59
406,F. nigra,Shade,Control,4/27/19,132.99
407,F. nigra,Sun,MeJA,4/27/19,22.38
408,F. nigra,Sun,Control,4/27/19,37.94
409,F. nigra,Shade,MeJA,4/27/19,71.16
410,F. nigra,Shade,MeJA,4/27/19,10.63
411,F. nigra,Shade,MeJA,4/27/19,54.89
412,F. nigra,Sun,Control,4/27/19,38.86
413,F. nigra,Sun,Control,4/27/19,25.06
414,F. nigra,Sun,Control,4/27/19,105.45
415,F. nigra,Sun,MeJA,4/27/19,130.3
416,F. nigra,Shade,MeJA,4/27/19,12.36
417,F. nigra,Sun,Control,4/27/19,105.78
418,F. nigra,Shade,Control,4/27/19,18.34
419,F. nigra,Sun,Control,4/27/19,62.89
420,F. nigra,Shade,MeJA,4/27/19,15.94
421,F. nigra,Shade,Control,4/27/19,38.01
422,F. nigra,Shade,Control,4/27/19,46.69
423,F. nigra,Shade,Control,4/27/19,46.79
424,F. nigra,Sun,MeJA,4/27/19,27.96
425,F. nigra,Shade,MeJA,4/27/19,83.14
426,F. nigra,Shade,MeJA,4/27/19,0
427,F. nigra,Sun,MeJA,4/27/19,42.8
428,F. nigra,Sun,MeJA,4/27/19,31.98
429,F. nigra,Sun,Control,4/27/19,18.9
430,F. nigra,Sun,MeJA,4/27/19,20.05
431,F. nigra,Shade,Control,4/27/19,42.98
432,F. nigra,Sun,Control,4/27/19,54.11
433,C. virginicus,Shade,Control,4/27/19,32.89
434,C. virginicus,Sun,Control,4/27/19,75.12
435,C. virginicus,Shade,MeJA,4/27/19,30.11
436,C. virginicus,Shade,Control,4/27/19,77.22
437,C. virginicus,Shade,MeJA,4/27/19,58.02
438,C. virginicus,Shade,MeJA,4/27/19,73.95
439,C. virginicus,Sun,MeJA,4/27/19,78.5
440,C. virginicus,Shade,MeJA,4/27/19,43.61
441,C. virginicus,Shade,MeJA,4/27/19,19.3
442,C. virginicus,Sun,MeJA,4/27/19,0
443,C. virginicus,Sun,MeJA,4/27/19,18.75
444,C. virginicus,Shade,Control,4/27/19,87.96
445,C. virginicus,Shade,Control,4/27/19,47.63
446,C. virginicus,Shade,Control,4/27/19,0
447,C. virginicus,Shade,Control,4/27/19,18.26
448,C. virginicus,Sun,Control,4/27/19,101.79
449,C. virginicus,Sun,MeJA,4/27/19,0
450,C. virginicus,Sun,MeJA,4/27/19,121.52
451,C. virginicus,Sun,Control,4/27/19,165.59
452,C. virginicus,Shade,MeJA,4/27/19,144.94
453,C. virginicus,Sun,Control,4/27/19,0
454,C. virginicus,Shade,MeJA,4/27/19,21.8
455,C. virginicus,Sun,MeJA,4/27/19,40.16
456,C. virginicus,Shade,Control,4/27/19,46.45
457,C. virginicus,Sun,Control,4/27/19,118.8
458,C. virginicus,Sun,MeJA,4/27/19,61.78
459,C. virginicus,Shade,Control,4/27/19,82.26
460,C. virginicus,Sun,Control,4/27/19,0
461,C. virginicus,Sun,Control,4/27/19,0
462,C. virginicus,Sun,Control,4/27/19,0
401,F. nigra,Shade,Control,5/14/19,114.68
402,F. nigra,Sun,MeJA,5/14/19,74.92
403,F. nigra,Shade,Control,5/14/19,134.36
404,F. nigra,Shade,MeJA,5/14/19,111.81
405,F. nigra,Shade,MeJA,5/14/19,89.26
406,F. nigra,Shade,Control,5/14/19,231.5
407,F. nigra,Sun,MeJA,5/14/19,25.3
408,F. nigra,Sun,Control,5/14/19,46.92
409,F. nigra,Shade,MeJA,5/14/19,112.66
410,F. nigra,Shade,MeJA,5/14/19,11.2
411,F. nigra,Shade,MeJA,5/14/19,107.4
412,F. nigra,Sun,Control,5/14/19,47.25
413,F. nigra,Sun,Control,5/14/19,46.2
414,F. nigra,Sun,Control,5/14/19,119.81
415,F. nigra,Sun,MeJA,5/14/19,188
416,F. nigra,Shade,MeJA,5/14/19,14.02
417,F. nigra,Sun,Control,5/14/19,119.11
418,F. nigra,Shade,Control,5/14/19,44.66
419,F. nigra,Sun,Control,5/14/19,68.35
420,F. nigra,Shade,MeJA,5/14/19,28.91
421,F. nigra,Shade,Control,5/14/19,72.79
422,F. nigra,Shade,Control,5/14/19,111
423,F. nigra,Shade,Control,5/14/19,51.45
424,F. nigra,Sun,MeJA,5/14/19,33.27
425,F. nigra,Shade,MeJA,5/14/19,159
426,F. nigra,Shade,MeJA,5/14/19,10.56
427,F. nigra,Sun,MeJA,5/14/19,81.22
428,F. nigra,Sun,MeJA,5/14/19,62.13
429,F. nigra,Sun,Control,5/14/19,100.42
430,F. nigra,Sun,MeJA,5/14/19,22.23
431,F. nigra,Shade,Control,5/14/19,180.5
432,F. nigra,Sun,Control,5/14/19,75.36
433,C. virginicus,Shade,Control,5/14/19,78.4
434,C. virginicus,Sun,Control,5/14/19,224
435,C. virginicus,Shade,MeJA,5/14/19,49.1
436,C. virginicus,Shade,Control,5/14/19,155.62
437,C. virginicus,Shade,MeJA,5/14/19,208.96
438,C. virginicus,Shade,MeJA,5/14/19,350.5
439,C. virginicus,Sun,MeJA,5/14/19,280.68
440,C. virginicus,Shade,MeJA,5/14/19,226.29
441,C. virginicus,Shade,MeJA,5/14/19,37.26
442,C. virginicus,Sun,MeJA,5/14/19,0
443,C. virginicus,Sun,MeJA,5/14/19,197.52
444,C. virginicus,Shade,Control,5/14/19,351.93
445,C. virginicus,Shade,Control,5/14/19,404.74
446,C. virginicus,Shade,Control,5/14/19,0
447,C. virginicus,Shade,Control,5/14/19,24.28
448,C. virginicus,Sun,Control,5/14/19,437.16
449,C. virginicus,Sun,MeJA,5/14/19,260
450,C. virginicus,Sun,MeJA,5/14/19,601
451,C. virginicus,Sun,Control,5/14/19,984
452,C. virginicus,Shade,MeJA,5/14/19,176.23
453,C. virginicus,Sun,Control,5/14/19,0
454,C. virginicus,Shade,MeJA,5/14/19,61.75
455,C. virginicus,Sun,MeJA,5/14/19,75
456,C. virginicus,Shade,Control,5/14/19,124.32
457,C. virginicus,Sun,Control,5/14/19,407.32
458,C. virginicus,Sun,MeJA,5/14/19,66.32
459,C. virginicus,Shade,Control,5/14/19,251.9
460,C. virginicus,Sun,Control,5/14/19,625
461,C. virginicus,Sun,Control,5/14/19,483
462,C. virginicus,Sun,Control,5/14/19,690
401,F. nigra,Shade,Control,5/27/19,117
402,F. nigra,Sun,MeJA,5/27/19,75.95
403,F. nigra,Shade,Control,5/27/19,135
404,F. nigra,Shade,MeJA,5/27/19,115
405,F. nigra,Shade,MeJA,5/27/19,93.28
406,F. nigra,Shade,Control,5/27/19,238
407,F. nigra,Sun,MeJA,5/27/19,26.2
408,F. nigra,Sun,Control,5/27/19,46.92
409,F. nigra,Shade,MeJA,5/27/19,114
410,F. nigra,Shade,MeJA,5/27/19,12.1
411,F. nigra,Shade,MeJA,5/27/19,112
412,F. nigra,Sun,Control,5/27/19,51.71
413,F. nigra,Sun,Control,5/27/19,49.9
414,F. nigra,Sun,Control,5/27/19,122
415,F. nigra,Sun,MeJA,5/27/19,191
416,F. nigra,Shade,MeJA,5/27/19,16
417,F. nigra,Sun,Control,5/27/19,123.34
418,F. nigra,Shade,Control,5/27/19,47
419,F. nigra,Sun,Control,5/27/19,73
420,F. nigra,Shade,MeJA,5/27/19,29.35
421,F. nigra,Shade,Control,5/27/19,72.81
422,F. nigra,Shade,Control,5/27/19,112.56
423,F. nigra,Shade,Control,5/27/19,57
424,F. nigra,Sun,MeJA,5/27/19,34.55
425,F. nigra,Shade,MeJA,5/27/19,159
426,F. nigra,Shade,MeJA,5/27/19,11
427,F. nigra,Sun,MeJA,5/27/19,81.37
428,F. nigra,Sun,MeJA,5/27/19,66.59
429,F. nigra,Sun,Control,5/27/19,104.72
430,F. nigra,Sun,MeJA,5/27/19,27.11
431,F. nigra,Shade,Control,5/27/19,186
432,F. nigra,Sun,Control,5/27/19,77.44
433,C. virginicus,Shade,Control,5/27/19,80
434,C. virginicus,Sun,Control,5/27/19,228
435,C. virginicus,Shade,MeJA,5/27/19,105
436,C. virginicus,Shade,Control,5/27/19,165
437,C. virginicus,Shade,MeJA,5/27/19,210
438,C. virginicus,Shade,MeJA,5/27/19,431
439,C. virginicus,Sun,MeJA,5/27/19,291.42
440,C. virginicus,Shade,MeJA,5/27/19,242.82
441,C. virginicus,Shade,MeJA,5/27/19,70
442,C. virginicus,Sun,MeJA,5/27/19,0
443,C. virginicus,Sun,MeJA,5/27/19,197.52
444,C. virginicus,Shade,Control,5/27/19,414
445,C. virginicus,Shade,Control,5/27/19,541
446,C. virginicus,Shade,Control,5/27/19,0
447,C. virginicus,Shade,Control,5/27/19,145
448,C. virginicus,Sun,Control,5/27/19,608
449,C. virginicus,Sun,MeJA,5/27/19,260
450,C. virginicus,Sun,MeJA,5/27/19,601
451,C. virginicus,Sun,Control,5/27/19,984
452,C. virginicus,Shade,MeJA,5/27/19,205
453,C. virginicus,Sun,Control,5/27/19,0
454,C. virginicus,Shade,MeJA,5/27/19,68
455,C. virginicus,Sun,MeJA,5/27/19,76.52
456,C. virginicus,Shade,Control,5/27/19,134.06
457,C. virginicus,Sun,Control,5/27/19,444.06
458,C. virginicus,Sun,MeJA,5/27/19,67.94
459,C. virginicus,Shade,Control,5/27/19,253.6
460,C. virginicus,Sun,Control,5/27/19,625.5
461,C. virginicus,Sun,Control,5/27/19,552
462,C. virginicus,Sun,Control,5/27/19,713
401,F. nigra,Shade,Control,6/18/19,117
402,F. nigra,Sun,MeJA,6/18/19,77
403,F. nigra,Shade,Control,6/18/19,136
404,F. nigra,Shade,MeJA,6/18/19,116
405,F. nigra,Shade,MeJA,6/18/19,95
406,F. nigra,Shade,Control,6/18/19,238
407,F. nigra,Sun,MeJA,6/18/19,27
408,F. nigra,Sun,Control,6/18/19,110
409,F. nigra,Shade,MeJA,6/18/19,117
410,F. nigra,Shade,MeJA,6/18/19,155
411,F. nigra,Shade,MeJA,6/18/19,119
412,F. nigra,Sun,Control,6/18/19,55
413,F. nigra,Sun,Control,6/18/19,43
414,F. nigra,Sun,Control,6/18/19,122
415,F. nigra,Sun,MeJA,6/18/19,199
416,F. nigra,Shade,MeJA,6/18/19,12
417,F. nigra,Sun,Control,6/18/19,125
418,F. nigra,Shade,Control,6/18/19,52
419,F. nigra,Sun,Control,6/18/19,74
420,F. nigra,Shade,MeJA,6/18/19,30
421,F. nigra,Shade,Control,6/18/19,76
422,F. nigra,Shade,Control,6/18/19,73
423,F. nigra,Shade,Control,6/18/19,53
424,F. nigra,Sun,MeJA,6/18/19,32
425,F. nigra,Shade,MeJA,6/18/19,162
426,F. nigra,Shade,MeJA,6/18/19,11
427,F. nigra,Sun,MeJA,6/18/19,80.69
428,F. nigra,Sun,MeJA,6/18/19,69
429,F. nigra,Sun,Control,6/18/19,117
430,F. nigra,Sun,MeJA,6/18/19,26
431,F. nigra,Shade,Control,6/18/19,190
432,F. nigra,Sun,Control,6/18/19,80
433,C. virginicus,Shade,Control,6/18/19,81
434,C. virginicus,Sun,Control,6/18/19,229
435,C. virginicus,Shade,MeJA,6/18/19,109
436,C. virginicus,Shade,Control,6/18/19,173
437,C. virginicus,Shade,MeJA,6/18/19,323
438,C. virginicus,Shade,MeJA,6/18/19,656
439,C. virginicus,Sun,MeJA,6/18/19,292
440,C. virginicus,Shade,MeJA,6/18/19,250
441,C. virginicus,Shade,MeJA,6/18/19,71
442,C. virginicus,Sun,MeJA,6/18/19,367
443,C. virginicus,Sun,MeJA,6/18/19,230
444,C. virginicus,Shade,Control,6/18/19,412
445,C. virginicus,Shade,Control,6/18/19,553
446,C. virginicus,Shade,Control,6/18/19,0
447,C. virginicus,Shade,Control,6/18/19,146
448,C. virginicus,Sun,Control,6/18/19,585.86
449,C. virginicus,Sun,MeJA,6/18/19,0
450,C. virginicus,Sun,MeJA,6/18/19,560
451,C. virginicus,Sun,Control,6/18/19,903
452,C. virginicus,Shade,MeJA,6/18/19,152
453,C. virginicus,Sun,Control,6/18/19,0
454,C. virginicus,Shade,MeJA,6/18/19,72
455,C. virginicus,Sun,MeJA,6/18/19,77
456,C. virginicus,Shade,Control,6/18/19,138
457,C. virginicus,Sun,Control,6/18/19,569
458,C. virginicus,Sun,MeJA,6/18/19,67
459,C. virginicus,Shade,Control,6/18/19,175
460,C. virginicus,Sun,Control,6/18/19,510
461,C. virginicus,Sun,Control,6/18/19,552
462,C. virginicus,Sun,Control,6/18/19,713
401,F. nigra,Shade,Control,7/24/19,119
402,F. nigra,Sun,MeJA,7/24/19,79.6
403,F. nigra,Shade,Control,7/24/19,136
404,F. nigra,Shade,MeJA,7/24/19,169.93
405,F. nigra,Shade,MeJA,7/24/19,95.67
406,F. nigra,Shade,Control,7/24/19,238
407,F. nigra,Sun,MeJA,7/24/19,27.26
408,F. nigra,Sun,Control,7/24/19,113.44
409,F. nigra,Shade,MeJA,7/24/19,118.25
410,F. nigra,Shade,MeJA,7/24/19,155
411,F. nigra,Shade,MeJA,7/24/19,119
412,F. nigra,Sun,Control,7/24/19,56.22
413,F. nigra,Sun,Control,7/24/19,49.44
414,F. nigra,Sun,Control,7/24/19,122
415,F. nigra,Sun,MeJA,7/24/19,239.67
416,F. nigra,Shade,MeJA,7/24/19,16.22
417,F. nigra,Sun,Control,7/24/19,125.62
418,F. nigra,Shade,Control,7/24/19,52
419,F. nigra,Sun,Control,7/24/19,74
420,F. nigra,Shade,MeJA,7/24/19,30.01
421,F. nigra,Shade,Control,7/24/19,76
422,F. nigra,Shade,Control,7/24/19,73.98
423,F. nigra,Shade,Control,7/24/19,53.9
424,F. nigra,Sun,MeJA,7/24/19,32
425,F. nigra,Shade,MeJA,7/24/19,162
426,F. nigra,Shade,MeJA,7/24/19,11.35
427,F. nigra,Sun,MeJA,7/24/19,81.49
428,F. nigra,Sun,MeJA,7/24/19,69
429,F. nigra,Sun,Control,7/24/19,117
430,F. nigra,Sun,MeJA,7/24/19,31.68
431,F. nigra,Shade,Control,7/24/19,191
432,F. nigra,Sun,Control,7/24/19,80
433,C. virginicus,Shade,Control,7/24/19,96.77
434,C. virginicus,Sun,Control,7/24/19,239.37
435,C. virginicus,Shade,MeJA,7/24/19,109.44
436,C. virginicus,Shade,Control,7/24/19,173.52
437,C. virginicus,Shade,MeJA,7/24/19,326.6
438,C. virginicus,Shade,MeJA,7/24/19,658.04
439,C. virginicus,Sun,MeJA,7/24/19,297.57
440,C. virginicus,Shade,MeJA,7/24/19,252.03
441,C. virginicus,Shade,MeJA,7/24/19,149.95
442,C. virginicus,Sun,MeJA,7/24/19,367
443,C. virginicus,Sun,MeJA,7/24/19,231.33
444,C. virginicus,Shade,Control,7/24/19,417.88
445,C. virginicus,Shade,Control,7/24/19,555.31
446,C. virginicus,Shade,Control,7/24/19,0
447,C. virginicus,Shade,Control,7/24/19,147.14
448,C. virginicus,Sun,Control,7/24/19,617.19
449,C. virginicus,Sun,MeJA,7/24/19,260
450,C. virginicus,Sun,MeJA,7/24/19,564.64
451,C. virginicus,Sun,Control,7/24/19,903.77
452,C. virginicus,Shade,MeJA,7/24/19,154.23
453,C. virginicus,Sun,Control,7/24/19,0
454,C. virginicus,Shade,MeJA,7/24/19,73.82
455,C. virginicus,Sun,MeJA,7/24/19,81.26
456,C. virginicus,Shade,Control,7/24/19,138.43
457,C. virginicus,Sun,Control,7/24/19,574.75
458,C. virginicus,Sun,MeJA,7/24/19,74.08
459,C. virginicus,Shade,Control,7/24/19,176.27
460,C. virginicus,Sun,Control,7/24/19,510
461,C. virginicus,Sun,Control,7/24/19,552
462,C. virginicus,Sun,Control,7/24/19,713