ID_Number,Common_Name,Genus,Species,Family,Block,Light,Treatment,Bud_growth,Leaf_biomass,PhEf_052519,PhEf_061819,Eggs,Hatch_rate,Avg_gall_w,POX_Gua,POX_Ole,PPO_Caf,PPO_Cat,BG,CHI,Protein,Phenolics,TI,Carbohydrates,Lignin,Oleuropein
401,BlackAsh,Fraxinus,F. nigra,Oleacea,2,Shade,Control,114.68,27.8,0.847,0.7665,4,0.5,1.86,1.024724028,1.869397278,6.466042896,0.83559393,2.35012834,1.274306617,1.269954973,7.252096774,0,20.97265625,0.866537633,4.38
402,BlackAsh,Fraxinus,F. nigra,Oleacea,5,Sun,MeJA,74.92,24.8,0.432,0.442,6,0.833,2.018,0.781925918,0.224994095,0.203206532,0.701479234,1.981373492,1.182746211,1.879860827,6.700806452,4.26280961,15.34765625,NA,2.51
403,BlackAsh,Fraxinus,F. nigra,Oleacea,3,Shade,Control,134.36,30,0.8395,0.7885,5,0.8,2.075,2.242271688,3.030360506,NA,NA,NA,2.742956164,0.036839951,6.329516129,0,14.37109375,0.753447099,0.84
404,BlackAsh,Fraxinus,F. nigra,Oleacea,2,Shade,MeJA,111.81,9,0.7685,0.7795,4,0,NA,NA,NA,NA,NA,NA,NA,0.002046664,6.488387097,NA,14.5859375,NA,0.53
405,BlackAsh,Fraxinus,F. nigra,Oleacea,4,Sun,MeJA,89.26,23.4,0.478,0.562,5,0.4,1.135,1.899073404,3.086465971,91.68276909,10.94227581,6.776091337,2.172640433,0.126893164,6.919354839,0,16.1484375,0.695854698,0
406,BlackAsh,Fraxinus,F. nigra,Oleacea,7,Shade,Control,231.5,34.6,0.82,0.82,5,0,NA,2.456695026,1.350111157,0.993119298,24.05895789,8.447862317,2.164621011,0.136103152,6.322096774,14.23155366,20.85546875,NA,0
407,BlackAsh,Fraxinus,F. nigra,Oleacea,1,Sun,MeJA,25.3,34.5,0.337,0.686,5,0.6,1.426666667,2.226772558,2.813708759,163.9164964,35.35087027,9.428631948,2.430026945,0.075726566,7.333225806,23.36118962,18.94140625,0.714686231,0
408,BlackAsh,Fraxinus,F. nigra,Oleacea,5,Sun,Control,46.92,21.2,0.536,0.6035,5,0.8,2.3525,1.750065885,2.17425009,28.1619636,6.99048947,4.737990014,1.820877112,0.489152681,7.895967742,9.95693206,23.35546875,NA,6.23
409,BlackAsh,Fraxinus,F. nigra,Oleacea,3,Shade,MeJA,112.66,25.5,0.8025,0.865,5,0.6,1.696666667,2.034877659,2.568631528,136.9238536,15.38586289,5.238079475,2.570041888,0.099263201,6.593870968,17.09230238,11.03125,0.572900833,0
410,BlackAsh,Fraxinus,F. nigra,Oleacea,6,Shade,MeJA,11.2,36.3,0.767,0.726,5,0.2,1.03,NA,NA,NA,NA,NA,NA,NA,7.005806452,NA,20.73828125,0.839160131,0
411,BlackAsh,Fraxinus,F. nigra,Oleacea,7,Shade,MeJA,107.4,9.9,0.834,0.777,4,0.5,1.16,2.696518367,2.234547716,34.25435,NA,NA,3.398748202,0.014326648,7.182580645,NA,11.109375,NA,0
412,BlackAsh,Fraxinus,F. nigra,Oleacea,5,Sun,Control,47.25,38.7,0.4765,0.564,5,0.4,1.185,1.413072292,0.410545935,0.961714124,4.612671342,2.72676942,1.362822715,1.415268113,7.063548387,2.834092343,19.3515625,0.739277004,0
413,BlackAsh,Fraxinus,F. nigra,Oleacea,1,Sun,Control,46.2,38.5,0.479,0.725,4,1,2.532,2.17666992,NA,80.85509354,46.15818088,7.863265817,2.248300169,0.132009824,7.450806452,0,17.4765625,0.797595644,0
414,BlackAsh,Fraxinus,F. nigra,Oleacea,8,Sun,Control,119.81,32.1,0,0.6075,5,0.6,1.745,0.269099977,1.570098427,6.416226814,1.445734107,NA,1.014095521,1.852230864,8.072741935,0,13.12109375,0.778020983,0
415,BlackAsh,Fraxinus,F. nigra,Oleacea,8,Sun,MeJA,188,25.4,0.2385,0.534,5,0.6,2.016666667,0.218928762,NA,16.60208011,1.667882258,2.037744248,1.291596791,0.888252149,7.437580645,0,16.5390625,0.749579457,0
416,BlackAsh,Fraxinus,F. nigra,Oleacea,6,Shade,MeJA,14.02,24.3,0.719,0.857,5,0.8,1.826666667,1.555130161,0.902520948,2.095204332,7.169900073,4.109677849,1.890835633,0.464592714,7.992096774,10.64562174,21.890625,0.762161961,0
417,BlackAsh,Fraxinus,F. nigra,Oleacea,1,Sun,Control,119.11,49.2,0.4705,0.672,5,0.8,1.803333333,1.297651883,1.614849868,3.26838685,7.726753906,2.768275136,1.456905041,0.965002047,7.183225806,0,15.9921875,0.735882262,2.33
418,BlackAsh,Fraxinus,F. nigra,Oleacea,6,Shade,Control,44.66,39.7,0.702,0.735,4,0.25,2.01,1.621785682,0.826960934,0.935062984,1.741482946,2.881909754,1.338840088,1.232091691,6.36516129,3.205203451,13.4140625,0.834481804,0.23
419,BlackAsh,Fraxinus,F. nigra,Oleacea,8,Sun,Control,68.35,26.7,0.467,0.662,5,0.8,2.6175,0.965590683,0.661884972,3.270892184,1.090685172,1.451916612,0.881602382,4.154727794,7.943548387,0.624402594,24.29296875,0.819298352,7.04
420,BlackAsh,Fraxinus,F. nigra,Oleacea,7,Shade,MeJA,28.91,14.8,0.792,0.637,5,0.2,NA,1.856530789,1.291147239,12.27005352,41.73400986,6.218420067,2.424657295,0.14531314,6.698548387,17.35432487,20.2109375,NA,0
421,BlackAsh,Fraxinus,F. nigra,Oleacea,6,Shade,Control,72.79,36,0.867,0.8565,4,0.5,1.3,1.379368293,0.418248955,1.14091611,2.35714956,1.819151081,1.36857255,1.471551371,7.42,5.326958244,9.91796875,0.752112847,0.86
422,BlackAsh,Fraxinus,F. nigra,Oleacea,3,Shade,Control,111,27.3,0.7215,0.942,5,1,1.91,1.306166858,NA,4.854996852,1.121400689,1.669391766,1.23370253,2.080433893,7.449193548,0.957294634,14.703125,NA,9.8
423,BlackAsh,Fraxinus,F. nigra,Oleacea,2,Shade,Control,51.45,20.3,0.7285,0.8365,4,0,NA,0.34445392,1.442969639,7.578022365,1.56063167,2.589155383,1.271905705,1.51760131,7.247580645,6.426990476,16.96875,0.59255994,0.63
424,BlackAsh,Fraxinus,F. nigra,Oleacea,4,Sun,MeJA,33.27,17.7,0.6675,0.525,6,1,1.87,1.68196695,1.10144901,3.234260556,22.91432208,5.90601334,2.043275367,0.245599673,6.18983871,0,15.015625,NA,0
425,BlackAsh,Fraxinus,F. nigra,Oleacea,3,Shade,MeJA,159,21.3,0.769,0.7645,5,0.6,1.58,1.822230182,1.914694997,15.21568567,4.081565205,2.416360089,1.633699923,0.816618911,7.218870968,10.59349827,17.046875,0.796261392,0
426,BlackAsh,Fraxinus,F. nigra,Oleacea,2,Shade,MeJA,10.56,2.2,NA,0.787,4,0.5,1.81,0.192327055,0.140172369,0.465437971,0.619026804,1.501988657,0.811018085,5.11972984,7.059354839,0.695979253,18.55078125,0.687089169,0
427,BlackAsh,Fraxinus,F. nigra,Oleacea,1,Sun,MeJA,81.22,29.6,0.8035,0.653,5,0.8,2.283333333,NA,NA,NA,NA,NA,NA,NA,7.713064516,NA,17.0078125,0.707660296,0
428,BlackAsh,Fraxinus,F. nigra,Oleacea,8,Sun,MeJA,62.13,17.5,0.5205,0.59,5,1,2.522,2.022244116,2.687954611,118.4062676,43.87716036,7.762548586,2.529556824,0.075726566,6.823870968,0,18.921875,0.836052505,0
429,BlackAsh,Fraxinus,F. nigra,Oleacea,4,Sun,Control,100.42,41.3,NA,0.7025,4,0,NA,0.801878683,1.190076799,4.920153524,1.943382734,1.657257745,1.125985773,2.647359804,7.848387097,2.353575289,17.984375,0.795720935,1.43
430,BlackAsh,Fraxinus,F. nigra,Oleacea,5,Sun,MeJA,22.23,19,0.7105,0.4705,5,0.8,1.8025,2.834487815,1.930624436,63.94959667,NA,NA,3.318702752,0.020466639,7.481774194,0,16.578125,0.588303845,0
431,BlackAsh,Fraxinus,F. nigra,Oleacea,7,Shade,Control,180.5,39.8,0.865,0.827,5,0.8,1.295,0.985750263,0.6866248,9.364881719,1.237612478,1.742522207,1.396187878,1.722267704,7.62016129,6.182934673,18.5703125,0.879373476,4.73
432,BlackAsh,Fraxinus,F. nigra,Oleacea,4,Sun,Control,75.36,30.8,NA,0.656,5,0.2,1.02,1.626707672,0.929073508,NA,4.503503675,3.109160312,1.442192416,1.178878428,7.163548387,3.792753571,15.30859375,0.868547455,1.38
433,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,2,Shade,Control,78.4,41,0.7845,0.855,4,1,1.55,1.430769655,2.193925298,6.513811724,0.175690814,4.999730975,1.649191541,0.38988948,8.134677419,16.83982876,28.98046875,0.775453815,45.84
434,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,5,Sun,Control,224,185.4,0.7935,0.529,4,1,0.9575,1.393116472,1.543612987,NA,1.510281564,NA,1.579437006,1.19525174,7.954193548,5.116746954,24.3125,0.638920978,26.58
435,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,6,Shade,MeJA,49.1,76.8,NA,0.7975,4,0.5,1.1,1.230072684,NA,15.86878509,1.807605702,5.569524374,2.015863977,0.155546459,7.680322581,13.1381915,21.28515625,0.487660701,1.3
436,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,6,Shade,Control,155.62,60.6,0.8025,0.8055,5,0.4,1.08,1.165945628,0.805708369,0.116196422,0.867973621,0.852596392,0.872280855,2.869422841,7.735322581,3.075210122,15.9140625,0.56190592,30.93
437,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,2,Shade,MeJA,208.96,12.4,0.788,0.8085,4,0.5,0.97,1.138380742,1.769179943,12.94495663,0.49743012,2.68936373,1.488100174,0.849365534,8.135645161,4.114337495,14.52734375,0.478962729,1.05
438,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,3,Shade,MeJA,350.5,48.2,0.478,0.849,5,0.2,0.85,1.174687191,1.371657422,5.546611072,0.19861006,1.288986743,1.197038138,2.597216537,7.71016129,4.050793822,15.81640625,0.591850591,8.54
439,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,1,Sun,MeJA,280.68,110.9,0.433,0.7105,5,0.8,1.07,1.313315744,2.092493069,8.421084305,0.271060777,2.648915267,1.295656318,1.158411789,7.881451613,7.891848599,25.89453125,0.588726076,10.09
440,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,3,Shade,MeJA,226.29,55.6,0.695,0.806,5,0.6,1.105,1.220438984,0.497544236,0.354365529,2.483758773,2.90499778,1.434040101,0.989562014,8.450806452,6.473653839,16.71484375,0.527603818,2.42
441,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,7,Shade,MeJA,37.26,6.3,0.901,0.809,5,0.6,0.81,1.117977329,1.56986583,6.237620071,0.322874504,1.285078298,1.510894186,1.923864102,8.170483871,10.62222582,23.765625,0.697020058,1.33
442,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,8,Sun,MeJA,0,68.4,0.506,0.58,4,1,1.05,1.639997198,NA,NA,0.182929562,1.402213821,0.921274467,3.10274253,7.189516129,5.244352027,19.91796875,0.447396688,1.39
443,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,4,Sun,MeJA,197.52,40.5,0.4765,0.6925,6,0.833,1.026,1.49664733,1.863977171,9.146855219,0.617193378,2.163385791,1.441936929,1.215718379,7.444677419,8.729660433,19.21484375,0.478523608,0
444,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,3,Shade,Control,351.93,36.6,0.693,0.8635,5,0.8,1.075,0.999644045,1.487644169,3.100537532,0.13475527,1.770947914,0.782394012,2.786532951,7.54016129,4.594258536,21.890625,0.546621133,74.52
445,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,7,Shade,Control,404.74,69,0.7795,0.8285,4,0.25,1.16,1.254527609,1.124300973,0.00077648,2.584513468,1.670485263,1.33064576,0.858575522,7.873225806,7.625779615,29.37109375,0.596731589,38.51
447,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,7,Shade,Control,24.28,46,0.6695,0.8715,5,0.6,1.393333333,0.974606636,1.423639019,5.899120468,0.130497427,0.903218219,1.176234815,2.041547278,8.577580645,5.458251705,18.70703125,0.809519467,20.62
448,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,1,Sun,Control,437.16,144.5,NA,0.624,5,0.8,1.113333333,0.72162905,1.572772115,6.854677575,0.215279783,1.042951778,1.19976071,1.791854278,8.070483871,4.320189425,23.5703125,0.493335495,24.4
449,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,1,Sun,MeJA,260,0,0.4165,NA,5,0.8,0.93,1.628592207,0.749011721,0.094251128,1.384232214,1.00088886,1.209675707,1.859394187,7.776935484,6.369828132,26.5,0.479199179,25.9
450,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,8,Sun,MeJA,601,27.2,NA,0.5215,5,0.6,1.023333333,1.382298118,0.298876657,0.03752411,0.675341439,0.957695305,0.747356479,3.60212853,7.829032258,5.38728893,26.6171875,0.472578586,1.01
451,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,4,Sun,Control,984,96.3,0.5345,0.79,5,0.4,0.95,0.96684634,0.675510689,0.444479545,1.525117909,1.256927024,1.338582445,2.264633647,7.466451613,8.839102106,27.18359375,0.67045324,62.54
452,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,7,Shade,MeJA,137.95,36.3,0.762,0.8055,4,0.75,0.99,1.690837392,1.601733905,5.110452716,0.199476358,1.859844986,1.013579296,2.242120344,7.701451613,4.930948505,23.58984375,0.759594793,1.48
454,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,6,Shade,MeJA,61.75,9.9,0.502,0.8705,4,0.5,2.45,1.388668308,1.170975189,0.495409538,0.068157857,NA,0.950723406,5.335652886,7.924193548,5.876317239,35.0546875,0.646234031,0
455,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,5,Sun,MeJA,75,57.2,0.6385,0.501,5,0.6,0.85,1.515043168,1.368045525,3.149798161,0.09235866,NA,0.88278132,3.783258289,7.842258065,4.004865195,26.71484375,0.72578248,7.96
456,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,3,Shade,Control,124.32,39.5,0.7075,0.9015,5,0.2,0.96,0.895007945,1.292052656,1.518274596,NA,1.032729738,0.64618299,6.353868195,7.800322581,4.33849184,21.734375,0.621153469,50.08
457,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,8,Sun,Control,407.32,139.7,0.6445,0.7493,5,0.8,0.95,0.951129447,1.256053382,6.202251076,0.322806823,2.18187241,0.988472867,1.96479738,8.097419355,5.956484467,32.203125,0.450301642,44.85
458,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,5,Sun,MeJA,66.32,59.6,0.597,0.388,4,0.5,1.01,1.456246442,0.754679689,0.273978649,1.363916858,1.895129104,1.289093957,2.049733934,7.888548387,8.434756328,24.48828125,0.650659019,2.59
459,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,2,Shade,Control,251.9,87.1,0.784,0.7715,4,1,0.803333333,0.785709934,1.317632156,2.656613688,0.187511666,0.75837617,0.758316718,4.689930413,7.546935484,3.497891705,18.0234375,0.664221101,10.84
460,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,1,Sun,Control,625,0.4,0.3755,0.5335,4,0.75,1.1275,0.363012197,0.310423673,0.030711179,0.441742695,0.836837451,0.440357992,5.217969709,7.731290323,0,23.39453125,0.534747978,39.35
461,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,5,Sun,Control,483,1.6,0.676,0.652,7,1,1.535714286,0.685133765,1.173323254,1.967978377,0.220245467,1.296243326,0.390432901,6.769340974,7.600967742,2.255799283,21.5,0.512842599,56.78
462,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,8,Sun,Control,690,0,0.33,0.35,5,0.6,2.213333333,0.463948814,0.694283488,1.489823133,0.106458676,0.895535124,0.44811693,5.571019239,7.672903226,2.709444883,23.6875,0.463306378,18.91