ID_Number,Common_Name,Genus,Species,Family,Block,Light,Treatment,Eggs,Hatch,Estab,Hatch_rate,Estab_rate,Gallery_width,Larv_mass
1,BlackAsh,Fraxinus,F. nigra,Oleacea,2,Shade,Control,4,2,2,50,100,1.86,0.00795
2,BlackAsh,Fraxinus,F. nigra,Oleacea,5,Sun,MeJA,6,5,5,83.33,100,2.02,0.0091
3,BlackAsh,Fraxinus,F. nigra,Oleacea,3,Shade,Control,5,4,2,80,50,2.08,0.0103
4,BlackAsh,Fraxinus,F. nigra,Oleacea,2,Shade,MeJA,4,0,0,0,0,0,NA
5,BlackAsh,Fraxinus,F. nigra,Oleacea,4,Sun,MeJA,5,2,2,40,100,1.14,0.0014
6,BlackAsh,Fraxinus,F. nigra,Oleacea,7,Shade,Control,5,0,0,0,0,0,NA
7,BlackAsh,Fraxinus,F. nigra,Oleacea,1,Sun,MeJA,5,3,3,60,100,1.43,0.0024
8,BlackAsh,Fraxinus,F. nigra,Oleacea,5,Sun,Control,5,4,4,80,100,2.35,0.014225
9,BlackAsh,Fraxinus,F. nigra,Oleacea,3,Shade,MeJA,5,3,3,60,100,1.7,0.0027
10,BlackAsh,Fraxinus,F. nigra,Oleacea,6,Shade,MeJA,5,1,1,20,100,1.03,0.002
11,BlackAsh,Fraxinus,F. nigra,Oleacea,7,Shade,MeJA,4,2,2,50,100,1.16,NA
12,BlackAsh,Fraxinus,F. nigra,Oleacea,5,Sun,Control,5,2,2,40,100,1.19,0.0012
13,BlackAsh,Fraxinus,F. nigra,Oleacea,1,Sun,Control,5,5,5,100,100,2.53,0.01486667
14,BlackAsh,Fraxinus,F. nigra,Oleacea,8,Sun,Control,5,3,2,60,66.67,1.75,0.003
15,BlackAsh,Fraxinus,F. nigra,Oleacea,8,Sun,MeJA,5,4,3,80,75,2.02,0.00493333
16,BlackAsh,Fraxinus,F. nigra,Oleacea,6,Shade,MeJA,5,4,3,80,75,1.83,0.00805
17,BlackAsh,Fraxinus,F. nigra,Oleacea,1,Sun,Control,5,4,3,80,75,1.8,0.01036667
18,BlackAsh,Fraxinus,F. nigra,Oleacea,6,Shade,Control,4,1,1,25,100,2.01,NA
19,BlackAsh,Fraxinus,F. nigra,Oleacea,8,Sun,Control,5,4,4,80,100,2.62,0.01826667
20,BlackAsh,Fraxinus,F. nigra,Oleacea,7,Shade,MeJA,5,1,0,20,0,0,NA
21,BlackAsh,Fraxinus,F. nigra,Oleacea,6,Shade,Control,4,2,2,50,100,1.3,0.0051
22,BlackAsh,Fraxinus,F. nigra,Oleacea,3,Shade,Control,5,5,5,100,100,1.91,0.007
23,BlackAsh,Fraxinus,F. nigra,Oleacea,2,Shade,Control,4,0,0,0,0,0,NA
24,BlackAsh,Fraxinus,F. nigra,Oleacea,4,Sun,MeJA,6,6,6,100,100,1.87,0.00801667
25,BlackAsh,Fraxinus,F. nigra,Oleacea,3,Shade,MeJA,5,3,3,60,100,1.58,0.00255
26,BlackAsh,Fraxinus,F. nigra,Oleacea,2,Shade,MeJA,4,2,2,50,100,1.81,0.0062
27,BlackAsh,Fraxinus,F. nigra,Oleacea,1,Sun,MeJA,5,4,3,80,75,2.28,0.00945
28,BlackAsh,Fraxinus,F. nigra,Oleacea,8,Sun,MeJA,5,5,5,100,100,2.52,0.0134
29,BlackAsh,Fraxinus,F. nigra,Oleacea,4,Sun,Control,4,1,0,25,0,0,NA
30,BlackAsh,Fraxinus,F. nigra,Oleacea,5,Sun,MeJA,5,4,4,80,100,1.8,0.01145
31,BlackAsh,Fraxinus,F. nigra,Oleacea,7,Shade,Control,5,4,4,80,100,1.3,0.003225
32,BlackAsh,Fraxinus,F. nigra,Oleacea,4,Sun,Control,5,2,1,40,50,1.02,0.0014
33,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,2,Shade,Control,4,4,4,100,100,1.55,NA
34,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,5,Sun,Control,4,4,4,100,100,0.96,NA
35,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,6,Shade,MeJA,4,2,2,50,100,1.1,NA
36,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,6,Shade,Control,5,2,1,40,50,1.08,NA
37,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,2,Shade,MeJA,4,2,2,50,100,0.97,NA
38,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,3,Shade,MeJA,5,2,1,40,50,0.85,NA
39,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,1,Sun,MeJA,5,4,3,80,75,1.07,NA
40,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,3,Shade,MeJA,5,3,2,60,66.67,1.11,NA
41,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,7,Shade,MeJA,5,3,3,60,100,0.81,NA
42,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,8,Sun,MeJA,4,4,3,100,75,1.05,NA
43,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,4,Sun,MeJA,6,5,5,83.33,100,1.03,NA
44,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,3,Shade,Control,5,4,4,80,100,1.08,NA
45,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,7,Shade,Control,4,1,1,25,100,1.16,NA
47,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,7,Shade,Control,5,3,3,60,100,1.39,NA
48,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,1,Sun,Control,5,4,3,80,75,1.11,NA
49,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,1,Sun,MeJA,5,4,4,80,100,0.93,NA
50,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,8,Sun,MeJA,5,4,3,80,75,1.02,0.0015
51,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,4,Sun,Control,5,2,1,40,50,0.95,NA
52,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,7,Shade,MeJA,4,3,2,75,66.67,0.99,NA
54,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,6,Shade,MeJA,4,2,2,50,100,2.45,0.0069
55,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,5,Sun,MeJA,5,3,2,60,66.67,0.85,NA
56,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,3,Shade,Control,5,1,1,20,100,0.96,NA
57,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,8,Sun,Control,5,4,4,80,100,0.95,NA
58,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,5,Sun,MeJA,4,2,2,50,100,1.01,NA
59,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,2,Shade,Control,4,4,3,100,75,0.8,NA
60,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,1,Sun,Control,4,4,4,100,100,1.13,NA
61,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,5,Sun,Control,7,7,7,100,100,1.54,0.0057
62,WhiteFringeTree,Chionanthus,C. virginicus,Oleacea,8,Sun,Control,5,3,3,60,100,2.21,NA